epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.83032,2.57577,3.38529,2.40823,0.59715,0.1726,0.22047,0.12895,2.52457,3.07572,2.24784,8.33e-06,8.33e-06,8.33e-06
2,6.33879,2.37519,3.14849,2.20577,0.57329,0.18709,0.22961,0.13559,2.45836,3.02895,2.20859,1.77616e-05,1.77616e-05,1.77616e-05
3,8.66628,2.23183,2.92705,2.12881,0.54054,0.21018,0.24076,0.14355,2.38801,2.95698,2.16717,2.7099e-05,2.7099e-05,2.7099e-05
4,11.1642,2.17701,2.70822,2.07524,0.49099,0.23592,0.26184,0.15715,2.28578,2.78549,2.10754,3.63422e-05,3.63422e-05,3.63422e-05
5,13.4379,2.11259,2.57826,2.05733,0.57308,0.24469,0.27948,0.16704,2.20418,2.55643,2.0752,4.54911e-05,4.54911e-05,4.54911e-05
6,15.7274,2.01359,2.43122,1.98002,0.61722,0.24775,0.29442,0.17006,2.137,2.36069,2.05242,5.45457e-05,5.45457e-05,5.45457e-05
7,17.9582,1.96928,2.22636,1.99534,0.65688,0.25036,0.31161,0.17372,2.08133,2.28769,2.0337,6.35061e-05,6.35061e-05,6.35061e-05
8,20.2234,1.84928,2.13341,1.89588,0.65776,0.2623,0.33051,0.18505,2.02031,2.24701,2.00914,7.23723e-05,7.23723e-05,7.23723e-05
9,22.4197,1.84082,2.08513,1.87921,0.59596,0.30462,0.35509,0.20183,1.95879,2.21995,2.00191,8.11442e-05,8.11442e-05,8.11442e-05
10,24.6645,1.76708,2.02429,1.90378,0.62235,0.30139,0.36887,0.21368,1.91583,2.17937,1.99638,8.98219e-05,8.98219e-05,8.98219e-05
11,26.9468,1.73694,1.97731,1.83965,0.54832,0.33677,0.37979,0.2225,1.81666,2.05784,1.959,9.84053e-05,9.84053e-05,9.84053e-05
12,29.1924,1.6814,1.94844,1.81057,0.61699,0.33258,0.40899,0.23708,1.75227,1.92957,1.92535,0.000106894,0.000106894,0.000106894
13,31.51,1.65138,1.87418,1.75712,0.61779,0.34509,0.44035,0.25272,1.70305,1.81455,1.88615,0.000111931,0.000111931,0.000111931
14,33.7317,1.59814,1.84396,1.71808,0.59161,0.39543,0.4708,0.26741,1.65302,1.69686,1.847,0.000111342,0.000111342,0.000111342
15,35.9791,1.61408,1.74706,1.70101,0.58303,0.43004,0.50215,0.28584,1.62861,1.61435,1.81575,0.000110753,0.000110753,0.000110753
16,38.1951,1.5554,1.72616,1.7189,0.61343,0.49238,0.53934,0.30389,1.59059,1.54443,1.78357,0.000110164,0.000110164,0.000110164
17,40.3885,1.53184,1.72853,1.70295,0.60272,0.49406,0.55498,0.31635,1.54158,1.49563,1.74774,0.000109575,0.000109575,0.000109575
18,42.5471,1.51981,1.67731,1.64718,0.61365,0.52426,0.57314,0.33333,1.51005,1.45777,1.7188,0.000108986,0.000108986,0.000108986
19,44.8742,1.52802,1.66352,1.64736,0.62688,0.54245,0.59082,0.34554,1.49267,1.42896,1.69931,0.000108397,0.000108397,0.000108397
20,47.1193,1.47079,1.55326,1.62311,0.64208,0.54066,0.59702,0.35317,1.47442,1.39828,1.68484,0.000107808,0.000107808,0.000107808
21,49.5041,1.51213,1.66162,1.64692,0.6618,0.54457,0.62672,0.37445,1.44845,1.37893,1.66598,0.000107219,0.000107219,0.000107219
22,51.9417,1.423,1.50062,1.59936,0.64591,0.57091,0.6346,0.38319,1.43724,1.34403,1.65111,0.00010663,0.00010663,0.00010663
23,54.2624,1.47723,1.57695,1.62974,0.66701,0.57622,0.64421,0.39033,1.42445,1.3151,1.63884,0.000106041,0.000106041,0.000106041
24,56.5244,1.42582,1.44095,1.56562,0.64583,0.59416,0.66566,0.40881,1.40039,1.28576,1.61778,0.000105452,0.000105452,0.000105452
25,58.7526,1.43553,1.50059,1.60993,0.71992,0.55027,0.66699,0.41255,1.37738,1.257,1.59542,0.000104863,0.000104863,0.000104863
26,61.0162,1.39541,1.45304,1.56974,0.68746,0.58299,0.67732,0.42019,1.36524,1.23769,1.57762,0.000104274,0.000104274,0.000104274
27,63.2529,1.42126,1.38805,1.57862,0.68995,0.59865,0.69578,0.43062,1.35204,1.2229,1.56659,0.000103685,0.000103685,0.000103685
28,65.5335,1.37484,1.39631,1.55316,0.65311,0.62174,0.70945,0.44535,1.33067,1.20788,1.55037,0.000103096,0.000103096,0.000103096
29,67.8135,1.37102,1.40501,1.55625,0.6572,0.64946,0.70833,0.44758,1.32823,1.20026,1.54742,0.000102507,0.000102507,0.000102507
30,70.0403,1.40038,1.47547,1.55754,0.65509,0.67638,0.71199,0.4551,1.32076,1.186,1.5401,0.000101918,0.000101918,0.000101918
31,72.3,1.35518,1.36791,1.54455,0.65754,0.7032,0.72475,0.46459,1.30433,1.15755,1.52778,0.000101329,0.000101329,0.000101329
32,74.6497,1.31881,1.3534,1.51242,0.73989,0.65064,0.73123,0.47392,1.29612,1.13275,1.51698,0.000100739,0.000100739,0.000100739
33,76.9279,1.32456,1.29071,1.47335,0.72072,0.68211,0.75283,0.47969,1.29264,1.11628,1.51225,0.00010015,0.00010015,0.00010015
34,79.1875,1.37673,1.3409,1.52772,0.74374,0.68083,0.76581,0.48775,1.28131,1.10611,1.50279,9.95614e-05,9.95614e-05,9.95614e-05
35,81.5699,1.37503,1.31689,1.50915,0.74731,0.68114,0.75413,0.49082,1.26073,1.09501,1.48845,9.89723e-05,9.89723e-05,9.89723e-05
36,83.9297,1.3336,1.32326,1.53732,0.74672,0.71829,0.76728,0.50007,1.24203,1.08391,1.47511,9.83833e-05,9.83833e-05,9.83833e-05
37,86.2898,1.30102,1.25136,1.47105,0.7365,0.72795,0.76489,0.50223,1.23797,1.06471,1.46807,9.77942e-05,9.77942e-05,9.77942e-05
38,88.665,1.35184,1.31278,1.49081,0.75174,0.7178,0.77073,0.50562,1.22931,1.04408,1.46054,9.72051e-05,9.72051e-05,9.72051e-05
39,91.0203,1.28202,1.24954,1.44173,0.75811,0.69022,0.76067,0.50788,1.22947,1.03645,1.46129,9.66161e-05,9.66161e-05,9.66161e-05
40,93.3778,1.30792,1.3244,1.50309,0.74061,0.70804,0.76586,0.5122,1.23077,1.03932,1.46235,9.6027e-05,9.6027e-05,9.6027e-05
41,95.813,1.28877,1.26892,1.45705,0.75013,0.71195,0.77331,0.51723,1.21948,1.03113,1.45352,9.5438e-05,9.5438e-05,9.5438e-05
42,98.2784,1.25391,1.20318,1.42836,0.77909,0.68755,0.78701,0.51972,1.20299,1.02136,1.43963,9.4849e-05,9.4849e-05,9.4849e-05
43,100.618,1.3013,1.23968,1.48017,0.76687,0.71198,0.7868,0.5273,1.1913,1.01567,1.42776,9.42599e-05,9.42599e-05,9.42599e-05
44,102.963,1.26052,1.19413,1.43095,0.7792,0.7305,0.79038,0.53702,1.18347,1.00228,1.41823,9.36709e-05,9.36709e-05,9.36709e-05
