epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.19409,1.25955,1.60121,1.31739,0.63518,0.54018,0.61499,0.45405,1.08068,1.10511,1.12873,8.33e-06,8.33e-06,8.33e-06
2,5.7387,1.20635,1.46932,1.25574,0.65176,0.551,0.62216,0.45811,1.07822,1.08044,1.12638,1.74966e-05,1.74966e-05,1.74966e-05
3,8.17535,1.16101,1.39238,1.22269,0.65388,0.56624,0.63665,0.46871,1.07109,1.06221,1.12312,2.62861e-05,2.62861e-05,2.62861e-05
4,10.6321,1.2128,1.41584,1.24682,0.67514,0.58498,0.65725,0.48437,1.06439,1.03708,1.11788,3.46987e-05,3.46987e-05,3.46987e-05
5,13.057,1.16339,1.30671,1.21726,0.68917,0.61387,0.6773,0.50177,1.05219,1.01472,1.11165,4.27343e-05,4.27343e-05,4.27343e-05
6,15.4393,1.11578,1.24127,1.17756,0.7216,0.61595,0.69459,0.50992,1.04789,0.98952,1.1051,5.03929e-05,5.03929e-05,5.03929e-05
7,17.9475,1.15977,1.22499,1.21645,0.71062,0.63735,0.70504,0.5211,1.044,0.96987,1.1016,5.76745e-05,5.76745e-05,5.76745e-05
8,20.3607,1.10749,1.18641,1.16612,0.7122,0.64918,0.7166,0.52735,1.02861,0.94433,1.09075,6.45792e-05,6.45792e-05,6.45792e-05
9,22.8001,1.16042,1.21907,1.19855,0.72217,0.65622,0.71959,0.53452,1.01244,0.91191,1.08052,7.11068e-05,7.11068e-05,7.11068e-05
10,25.119,1.06593,1.1281,1.17489,0.72179,0.66508,0.72897,0.54406,1.00596,0.89102,1.07723,7.72574e-05,7.72574e-05,7.72574e-05
11,27.5048,1.07525,1.11883,1.17735,0.75116,0.67016,0.73341,0.55321,0.99854,0.86936,1.07138,8.30311e-05,8.30311e-05,8.30311e-05
12,29.8847,1.06785,1.08455,1.16262,0.76062,0.67177,0.74794,0.56342,0.99609,0.84974,1.06767,8.84277e-05,8.84277e-05,8.84277e-05
13,32.2056,1.04118,1.0574,1.14102,0.79185,0.66415,0.75739,0.57209,0.98802,0.83045,1.06401,9.07256e-05,9.07256e-05,9.07256e-05
14,34.5411,1.05756,1.07702,1.14737,0.79913,0.66704,0.77065,0.58269,0.97879,0.81393,1.05897,8.83694e-05,8.83694e-05,8.83694e-05
