epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.27911,1.25955,1.60121,1.31739,0.63518,0.54018,0.61499,0.45405,1.08068,1.10511,1.12873,8.33e-06,8.33e-06,8.33e-06
2,6.82501,1.20622,1.46908,1.25555,0.65315,0.55073,0.62237,0.45759,1.07824,1.08086,1.12649,1.77616e-05,1.77616e-05,1.77616e-05
3,9.3669,1.16039,1.39128,1.22221,0.6569,0.56538,0.63572,0.46766,1.07159,1.06171,1.1235,2.7099e-05,2.7099e-05,2.7099e-05
4,11.9904,1.21194,1.41275,1.24622,0.68317,0.58948,0.65971,0.48453,1.0631,1.03685,1.11734,3.63422e-05,3.63422e-05,3.63422e-05
5,14.6689,1.16252,1.30479,1.21688,0.68673,0.61407,0.67548,0.49905,1.05273,1.0139,1.1109,4.54911e-05,4.54911e-05,4.54911e-05
6,17.4401,1.11347,1.23936,1.17666,0.73114,0.62112,0.69637,0.51304,1.04799,0.98922,1.10425,5.45457e-05,5.45457e-05,5.45457e-05
7,20.4036,1.15947,1.22,1.21586,0.72505,0.63435,0.70509,0.52229,1.0448,0.96939,1.10064,6.35061e-05,6.35061e-05,6.35061e-05
8,22.9071,1.10373,1.1815,1.16276,0.72508,0.64619,0.71531,0.52651,1.02702,0.93897,1.08892,7.23723e-05,7.23723e-05,7.23723e-05
9,25.4924,1.15952,1.21122,1.19757,0.71697,0.65894,0.72187,0.53898,1.00909,0.90414,1.07933,8.11442e-05,8.11442e-05,8.11442e-05
10,27.9695,1.06378,1.11187,1.17331,0.69515,0.67844,0.72563,0.54703,1.00372,0.88212,1.07513,8.98219e-05,8.98219e-05,8.98219e-05
11,30.2856,1.07487,1.10776,1.1752,0.73208,0.67812,0.74267,0.56267,0.99687,0.85775,1.07103,9.84053e-05,9.84053e-05,9.84053e-05
12,32.8427,1.07097,1.07681,1.16279,0.77295,0.68485,0.75615,0.56982,0.99267,0.84488,1.06728,0.000106894,0.000106894,0.000106894
13,35.3136,1.03749,1.04939,1.13667,0.80294,0.67744,0.76169,0.57828,0.98138,0.83018,1.06045,0.000111931,0.000111931,0.000111931
14,37.7231,1.05709,1.06545,1.14484,0.78175,0.68398,0.77078,0.58853,0.96712,0.80819,1.05321,0.000111342,0.000111342,0.000111342
15,40.4953,1.06501,1.01293,1.1316,0.80099,0.6966,0.78044,0.59681,0.94932,0.78514,1.04391,0.000110753,0.000110753,0.000110753
16,42.8265,1.00093,0.97002,1.14018,0.81986,0.70409,0.78485,0.60435,0.93991,0.76679,1.03947,0.000110164,0.000110164,0.000110164
17,45.0869,1.01718,0.97258,1.14082,0.82592,0.69632,0.78835,0.60693,0.93082,0.75593,1.03517,0.000109575,0.000109575,0.000109575
18,47.3904,0.9904,0.97557,1.10619,0.82941,0.6985,0.80159,0.61558,0.92286,0.74506,1.03003,0.000108986,0.000108986,0.000108986
19,49.7276,1.03028,0.98469,1.12788,0.82302,0.69787,0.80746,0.61953,0.92123,0.73728,1.02837,0.000108397,0.000108397,0.000108397
20,52.0294,1.00026,0.93055,1.11611,0.78497,0.74797,0.81529,0.62548,0.92089,0.7236,1.02658,0.000107808,0.000107808,0.000107808
21,54.2625,0.99398,0.93789,1.11711,0.80937,0.74406,0.81889,0.62762,0.91843,0.71371,1.02276,0.000107219,0.000107219,0.000107219
22,56.5346,0.96778,0.90675,1.10308,0.81999,0.72998,0.82686,0.64247,0.90541,0.70891,1.01298,0.00010663,0.00010663,0.00010663
23,58.7978,1.02039,0.95444,1.14106,0.75512,0.79132,0.83322,0.64774,0.89499,0.69856,1.00816,0.000106041,0.000106041,0.000106041
24,61.1512,1.00546,0.87495,1.09442,0.76646,0.77003,0.83243,0.65445,0.88126,0.68762,1.00395,0.000105452,0.000105452,0.000105452
25,63.4304,1.00454,0.92127,1.12088,0.79706,0.76966,0.83482,0.65857,0.87482,0.67698,1.00102,0.000104863,0.000104863,0.000104863
26,65.8099,0.9623,0.89378,1.10167,0.80497,0.75839,0.83386,0.6603,0.87009,0.67098,0.99634,0.000104274,0.000104274,0.000104274
27,68.5227,1.00296,0.8806,1.11914,0.81207,0.75857,0.83766,0.66256,0.86784,0.66498,0.99376,0.000103685,0.000103685,0.000103685
28,71.1919,0.94802,0.84223,1.0826,0.80784,0.76786,0.8443,0.66212,0.86518,0.66266,0.99276,0.000103096,0.000103096,0.000103096
29,73.7677,0.92484,0.83659,1.08122,0.82949,0.76299,0.84436,0.6664,0.85542,0.65815,0.98919,0.000102507,0.000102507,0.000102507
30,76.2445,0.96115,0.909,1.10235,0.80775,0.7729,0.84383,0.66909,0.85161,0.65109,0.98911,0.000101918,0.000101918,0.000101918
