epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.91537,2.24071,2.71296,2.03298,0.52034,0.26332,0.33709,0.1799,2.05934,2.30167,1.93648,8.33e-06,8.33e-06,8.33e-06
2,6.75586,2.10875,2.5086,1.89453,0.48919,0.28241,0.34141,0.18644,1.99302,2.23517,1.89595,1.77616e-05,1.77616e-05,1.77616e-05
3,9.93688,1.92684,2.32227,1.79131,0.49791,0.29531,0.34906,0.19831,1.93664,2.15632,1.86302,2.7099e-05,2.7099e-05,2.7099e-05
4,12.2921,1.86101,2.12922,1.72785,0.52055,0.31197,0.36371,0.21395,1.85938,2.01608,1.81566,3.63422e-05,3.63422e-05,3.63422e-05
5,14.7302,1.76297,1.96083,1.66638,0.47842,0.37132,0.40228,0.23256,1.79027,1.86085,1.77098,4.54911e-05,4.54911e-05,4.54911e-05
6,17.1087,1.67389,1.82638,1.59412,0.56784,0.37629,0.43466,0.25731,1.71318,1.70449,1.72081,5.45457e-05,5.45457e-05,5.45457e-05
7,19.4911,1.5826,1.67118,1.56677,0.59732,0.42161,0.46082,0.2727,1.65924,1.61841,1.6928,6.35061e-05,6.35061e-05,6.35061e-05
8,21.7488,1.51127,1.60476,1.50828,0.69186,0.40077,0.49411,0.29871,1.60029,1.53185,1.65011,7.23723e-05,7.23723e-05,7.23723e-05
9,24.086,1.52077,1.58243,1.52071,0.65302,0.47542,0.55294,0.33541,1.53366,1.42965,1.60091,8.11442e-05,8.11442e-05,8.11442e-05
10,26.3149,1.44313,1.53137,1.5172,0.65285,0.52155,0.58522,0.37055,1.48367,1.37119,1.56614,8.98219e-05,8.98219e-05,8.98219e-05
11,28.6234,1.41738,1.4622,1.45446,0.66458,0.55585,0.62333,0.40715,1.41224,1.28105,1.50551,9.84053e-05,9.84053e-05,9.84053e-05
